yelp_business_id,mapped_ROW_ID
s7Cq3DdSELAU_IFYXOnicg,33237
gVILTnDFDsVuVdxFVkRK7A,78700
6eRSdODyj9GS0w6zlhrWkg,187
p5cnaEIowlS-qkXGRzT7AQ,13032
x4q_kJ-dvaHL7dkpZKJUdg,40171
ithS085HZL2d6Sx3PTxFew,59540
DLwpjhatiSRN7QqZQwokSw,87942
yeOsE6Hnl_EiLJw2L5NXLA,56035
212rvQceJEiv5Ux6qas7vw,46062
uChTCA6MsLAciDRklpO-Fw,28381
EoUYBTQWpUJr7Sp6Kpw1aQ,52296
gFrOJ2rOR8ak4xyaOcao-A,622
1gL9mw6HRbetCb9vOBoPQw,35589
cen0cy8yRG4DQSR_8xcupQ,41593
WtA9dDDIMz-QESDSRnOYkw,34653
9g2TV23yfYabxHGuW_lrgA,88290
QcFKjb2i2Rxtnw9UJ3TrSg,51876
jUdkAoyuXqCjCjkP2zzD0w,17107
OFAiA6En2HD0CqLkFDCNpg,10301
XXGzCIcxzAZ6H98mxZbdqA,24831
hsgtedqml9ZDB2cbTZe_mA,61121
kOFDVcnj-8fd3doIpCQ06A,27156
dCRd0MAt1Oth3BEUFF08Dg,30046
l5MKpZThwcinpNmv4lcBgg,14896
zwANZuuXMSgBR5UXu19UBw,12092
vzHqc_5qf_aBramhKvdYcQ,50788
v0cl_1amwGypwFIS9-w8zw,22444
g14SuHGkIL-2pSWhRkSSlQ,73936
Qm75yOKpBAwbgFMbTBjVMA,19082
IPV-KGMLNvl3WRn1rFpk6w,51480
r_azis708eRsEKuVhYTDaQ,25180
KuxDPl6UYNLxFChPm0_MNw,63846
MlwsOef4hDJVHWOzutE6yw,75246
D5N-HTpwryAPGUK3wtxAjw,15142
wMr1NZCfOp8rgDe6gUHoQg,39923
AtpYrfIJJuSMc8h2fWQEIw,81667
_hlNVsSGc2R9wT_cNBbFoQ,19715
7-jI4XHEbroSNX_caGR0Qw,52773
t2eQcHc7WIlyKK8zFtY2Kw,88891
JFX1lf5vxJAMzAGJV_MMjQ,9588
2MMRdPAQDI_6VYQUdIjSzg,22859
sqFU1WIFbH_rrJJVHR4Z0g,18815
fjta0a2h-LYWOWBgJGVpwg,54082
H2gXfJQXltAqnpEwc58Img,80458
ebCjCmlO_M8ZFfyDr-s3hQ,88180
ZyYWnUbopxby-dW4eOovxw,84176
V4bhr2YpNO1al-n9rGyIPw,83034
_u1Bq7QsgMUXSMex8QHqLQ,62895
DhvkVOnDDWwL-AXYtxIFgQ,52076
SrnFpeMfMB40Rd6Z9N1lbg,83279
Oz4S6OoptmKAZfGBsa5x9g,21371
Fs4VBZ3zrwWmACSJfEL90w,83792
Nqjig71Pc0hUz5LafqmETw,66201
88Ktzlej575IGDFiTOxX9A,87786
u4uzbt8t7YcQ74BDUYnTGQ,35394
1yAUftiOsCEkZ4B1UsdxRQ,84866
dm2qhNgxjKGE9GvcfSPD2Q,86989
TYEQ38ONpmYMYv378IByhw,38097
bCUtviPBUJORqBrfn7X-rA,90172
bAPjkuNJ67j2F4C5HQQHhQ,61476
jqsj8FQUa2w6G1XN4Gqrpg,87159
Uhp3YoKkr1QOpLcwSVIFAg,55969
KUqInLEY1y7SkyZyDoGn0Q,26249
dHI6YDCDuU5X9tS-3y0Bcg,45182
bD5sbDj_lMYnyUpbG3xm3Q,56994
xfbjRpE3yhRQ9Zw-D_mBgQ,30263
CyQXHdumQvxKAkXglORTdQ,46839
IhM1UBvAMM5Fia4f_v1wdQ,75108
dhpzraAYdlZEomsaZjt5yg,21827
-IlQvDjwqOnA0iqlbmWX-Q,55207
OKUr2j1XwSwrCAiXzX5oFw,69979
PxNlfFHLRVGKqpN7-vXBTQ,25195
FOMPEDx1Y4yw8Zyeww9zJQ,45178
TwPd82uug0P8CPR7Q4p1AA,29912
5ecBEnLsF75q706JlH1DUg,72966
uEr5Myn9M9uuAurrEgXwFA,79440
OS5IyYEXgYV9_Z0iS4MkOw,39629
SILSPO3t7JEMJvDjDPTOag,6904
u03fkCkAqGZsHPTBXuJz0A,52114
HkXWnbO1Ir-iBJld-lfgtA,64337
cErWIGIT6Dhj5qJUIla6ZQ,2341
fQwB9Z98YEhkJit7c3z51A,50724
i1bwc_MLGgOIJ8S0r2uu2w,40408
k1AZkt8Q4bUObhnrHg3vCQ,45059
5mqufpjeUcF_7iRcn76Wcw,59840
fS3nh8egPi7eIBZi3Y3W7w,64949
DizSoX0FqH_EvXSHW6wEIQ,14614
-aIDAzPJTUexM3Skp78wlQ,40925
ZU-J5OtfgdNm0uPdxYNoaQ,3510
Qk_g7_hCvXrtdv_XUlXXGg,47365
XINxZ5fHTKq5eCq-z_KS8g,71809
0u4A5rNkLToKc5IuhzPzXw,9515
0iTpgvz5XJzFAo253nIE0g,67046
tVLoTAOYdAM4R1ha0oQyJA,77414
eDtxNY64sFYGjeFPJYlZ6w,45187
AatMT18wQ9QTgb5yKebtEw,54015
SO967mepbkVeGtJ7pg7c1Q,59498
Sk0Ycurq7D083Qs8x65b_Q,17188
ibwLiK-WzGnKFYmQ4R8Jtg,69367
dHJn4P749RhKBTCCocW4sw,89659
M-UEi9A08B4URLfrsql3BA,26693
nplCF1hjAn948EMAaJAazA,67094
YgwqL9w6jbz5cCJqVzFBRw,58272
QaxDKkqYTtVYZJcqBNTnvQ,43943
qsxrvxSUC-pKn-8u8uQ4Yw,74234
vqYCZseV9WqasZnO-iSQtg,16034
X3UyZfplYAXdSJpWPaxUIA,24303
FqviVFdQac_dVwVMrNtGBA,14097
kD05qsPROIFoEhgQIp_Vig,69908
ACQ1kbWkPToh0BsAQ5TGIQ,85915
A-2rj2poYBBjtenXSzKsyg,76344
JotRkYFXqP3iQxVmRN7W9Q,41424
1gBBumY1aO5x4ybRYWRacA,33548
IxAPxAC3Tb13IFg-Qjhppg,35133
dA2lVg79LtB5kMyx3dIANg,68407
TKKX9bllRBMzp0NYr441PQ,80918
uuDxjiidiIb6dTsV9edUTA,33530
1qqwHZ0Bf1f1O5CUjo3PnA,21314
FCKexdb00Z0A8IJHjiaAxw,75009
6Y5TyCM_zb7BmosuFzbzdg,2010
MBF4pdOatAxiEOyWEmierA,74299
vQXhuCQ4Wc3WWesp9hy3VQ,63153
j4qZTfkB3eWpvOv2FXtzeQ,44782
xAboCt1b_NoMjzTPOGPM8g,42191
UfcwUHtPrjRDL8irHCWqpQ,50571
x9SL1nCaUYM4JP91UrVkxQ,17592
Chgj7xcjgzexBZNGATfuyQ,66109
0rMFhLzeq3Z2OaJ62MQXlw,9213
3-i1qd64K-WLo0fJ5wrbbw,19205
HdQrBS3jrtOrRqzRymgiig,17604
URGUzMJRhK5gLQKC4UztTQ,38683
hKGP7pJgr-ylL6tSPl8cJQ,72141
5N8R7ALESZ30EoAzVJtabw,60285
RojqlEK55QGzQFlouz59bQ,86404
jp6wKEW6AmSJrz9TtYSx4g,76628
L6xMqBwK_DQJyPMY-VGRsA,13061
rvHGv9Q7r5QkIYrCZlfoAQ,50182
0sLskWuecHYjn3CZfn8qTw,70564
QVI1gM-_PAhQx_DSjz9akQ,55200
tgZU8QAowa7V4Af6DV9UUg,20761
pQ4K6ZXC2vGsatT5Xw3ILw,49919
KxDT3GVvFYYZABU0uGPh7A,27528
CrIQLWcvOYWDFAl-UWgkxw,38856
2ZZp5V8N0nHlsml01XBJUQ,77699
CGR7fAfsGYIKgIW4lMsNhA,1930
Dje1VOaJy10XVz4UIZXjLw,17003
lRYwL6uv-vheg4aijp48IA,58666
9CYZaEbU3KjdLFMkKbUXVw,37498
eAC2IhOVB42IZQZIG2McKg,87961
ARFcbubMpK34AU4t49PSxA,65491
mXvWf2_sXWNaLRsBo4O5Eg,84338
hMWrLOX5bpg4l8VdCbNYsw,60881
hyXNS3tSmi6njhBjgo8eGw,49218
oAfRZSJTQkjDM-5_XgUZ5w,33139
fPISsMIXOYZP1uins2Bwyw,9596
YeF7CV4QI438QbdMqLgjXw,47649
XlvpNPAZnzm-DJmKYmK2nQ,66134
8HJeAo1lVni0C2H7ajzOMQ,10608
0k6B3X0sinFB7ASe1lWg1Q,84723
OQ9rVtBEFFI4jkdEo9AoRg,55522
x7V4wx8O_5EWP1SacNtWSQ,72784
0fJvj2LG6VWenkXEnAACVA,35775
qlPyuJ77Znjh30I2kTs1xQ,13298
q2l6L-gdvIZewh7n5_xasQ,73402
EGpnaYbMyvWP-wm10wQvaw,34935
semizMsHqDfT_kOXQITSOA,87273
xpJEBXTCQh5Ib8BJrjt9Bg,57232
7cMnc_zSPenfSQa9_199CA,55797
CLXFlAPXpf8uQ-TWuzc_yQ,23780
BvRYdhStop6veX2SsRkqIA,75881
AsXzV6QKqO3IjekPavLpmg,11466
GA_BaeEJoGt3Rao3XvWYKg,52373
0BW6h-igJinzbqc-prYUaQ,4470
ZPm0sW2v9sjbwzhm-_ssnQ,23945
TZpiNmfkEsm5mjjgvUD3sw,3977
OJamx7yKpYRXwfGWm2bFKw,13041
L6WLlUfoeDP5EzOkuVRcHw,71050
-Btu8zliXgeSH4eBm1u9Rw,20182
NXpvhD0NRrk4Tx1AOhpZ8A,31768
FlVOC0CfQzf_Fd5TlhHfGw,19211
kZVFHKfAEXgysJdyOkJ3EA,32105
bbFjlDYqeZvHFfitD9nFIg,40356
E7Heu5iT3D1WsfxlFROgEA,87011
-Ej5bLw_bYuKt20kBFQi3w,63453
OAL8ewSpHm4A26aCNeKSuA,88556
WsxqiWpQL42U4SoQuCctBw,71162
9Uh1b4m8vwbcRfKSbye9ng,5806
27vF5LESbv4kFQfHZUDCnw,57151
NvFpFlu-aHzUOtaA0yc-YA,64516
cPAVcmanexdCPzwGpy5ZVg,53027
i3oRRwl3RWOxKfTtiJbliw,63736
4zmB6a8s6F-u46JYVixmrg,38199
Q62lGVKqoKJ09lZNt2qpfw,17405
rf4gDMJ-CudM3b7A7Hwumw,88623
VDgcNqOAf9kzvyrkYWxvvQ,75454
vBGfITg_FEkFYMQwNagbBA,64885
A2aeHV_EsLIxEqRthPoujQ,69494
S47qerKWSdrq2q6XwFgYrg,32358
SVYL3xzJTXcFg-oCGpgzZg,86389
D0TsIM7U5UfvZ8dBdFi4sg,81109
rzE7XHS7KKGVa5yItYeWuw,89221
Qr6KiVgv7CklIc0J3EKMCQ,82776
Fpr_Qdt59eafLq7USBCNUQ,83953
hXhEyETTzCv9armcR7CKgQ,10217
uwT7CppiYkek-Z-661sndQ,43941
cBEU-bxDBBlp-Igu1e_7OQ,84669
cvIcgTWZmnNsv0jXtl3KVg,33108
MIBi66jl0rSVJsanYziDQw,37046
H1RPyMTIr3xGD6g0kxvhpg,75674
Zq9WPT7ZAOYlQ0GV8OQWKQ,65775
kd8v68rmPA5KE9TtBx-4AA,84072
amsvLzfEvCzLwP0MnXAJ1w,35028
2XUYdiTgCsDE0k61QC422A,50711
k_GZE3AvfeBXp4jqUIe5vw,43087
rw8R85103t__U2YsvrtXiQ,61771
vgQZ8Uo9sVPMjrae2TAPZw,83712
XAELZpZoSn3DwJu1c4BvnQ,66198
eQel7bUz75j0AVKnfsillg,14316
Sa_ClmrHVs222CiySpQ-XQ,87780
l2KV-9-dkrvhZF6lNrPpCw,18130
_tDkuLe4iwD8LhlcQYyarA,80876
tPtgpnTWCC4oIW-8-5YgXg,13339
-aoMfFDMmJOgkOT3dacwpg,50517
8FqfLM0Kv3Grr9l8bOAlCA,499
rmaNVBR2D_10blPLk_jtTA,7265
s8wK1KPvUPe8FA_wmDQWrA,20857
q1qjPXe0C2VXTInnWNLudQ,85478
fEQYb3QkYUVAJ6l9F8qeMA,57325
PUOEIAp615ar5vbfF_rh6Q,87364
Y5ADR4UCC2_ZMHbQsLJEPw,8982
4oIUaWXMJcp8sVrGLVuUsQ,6472
lnZhnZzBiG5rD9brVv5uXA,79254
qXk2CS1-6jKTKpMUIgN9kQ,54247
mN0bCGteXHDpUzH2xqrABQ,56668
4FX9F9dWkbwSxDet19GVgQ,36501
5uHAA5avjVvdDhgDUQs6lw,19558
hjdKH8-hrV97anWxX0JBqQ,18982
ZPzTAMuJKVvrVUPF28WnIQ,86037
sizDIacOnwzgDjKuhyNZqw,84093
3SLMbM0m_9zQObNZ9gPoXg,73459
X3deA0R_ELgsYCP1X0PnpA,40831
QWWg3mbz1VkBjfPr0gLRsQ,78820
s3Y5_k8vGnWfXjGwke89XA,78965
oQFMJqDwNXbNMRbcmIYRYg,36709
HAnPo3pHgCnw8pNxJZtH-g,22369
YH8Bn-7pLR-SFR8MCgQj1w,21009
vnIdWzIB2W4j9cDcd6tHAQ,57695
hjYW9HyGDZYhMQnAaejpcw,75512
rRYgd0-nq43w0rhq4SxHvA,24690
marrqbEXmEgyY90Or2vqKw,20867
LkfdCPTWU4BNWWpou60Lww,52686
8vq9tnnH5qvnbBdeXYBJyw,4565
Mkk2p6o-oS6ALaFt9-jMBQ,51463
Tn1_yYMtMeIprdBD4ouGFA,85418
BYDs_o6U4CLxJec8k1Q90Q,73034
xbCLTxUYvm1ZMzBYtKEq4w,10409
XglMkgLbu2U0wsbLTOQhxw,38455
JrD90K-V1tfPWbWjPgSXmA,76536
dE6Fv16voV-4s730fTv_AA,34215
hX8XeGwSxGgEatWt_ISywA,26099
kGOr_D-LNpgZ2M9N8TT4QQ,34928
M-VUR6cHMZIPN1wbvVdGiQ,81387
5nAVwSp9WPHLVrP082Jrsw,66963
w-T4zTgKC1kVgKMC3fxKMg,73572
xD293QcX3kHO5Z1Kz5zPww,10207
abIF7pw1Hyu-eVW3LwNhyg,82089
hh0awjyUvdYO644QVFs_dg,22545
lrtakK7qepwCoY5g2O281g,55353
OaKWXPZl3yfEbhcGWFGTCw,28194
zwTwLcXe11Mt1XOYS1q3LA,13553
j943gfwJ5u-IybuZ4ZIJlw,89632
arpBUwgiaE8iqfNGMQ_hgg,23210
zpwl8rQBGrO1XkP1CYBtvg,54200
TR0-w6VoZDAdvFQiq7P2Ug,48804
ZxwTs6uEDRnC-kNnsrDNsA,58643
KTsMFt_3z3NclQWS8sARmQ,88767
2PCz_uVX7GOXtGHNXAPXhw,78262
pdxD8dFqMImWmeBMU42wmg,56205
Zn4zzOZXPSouXKuhYvNlYg,85413
VtQIAj8eXvHqc_8MtMMGwg,47978
qkBt1Rag9CZrKen7oz2zAA,38941
SlBl7jXhgv85tkuoTz9IOw,55856
dsIHIXyAl_ldqkd8QekvTQ,15581
4LPF1T64uLpwL6z4_ITJgQ,60041
hY2vkn2TFxegPyqTdlKOcA,28288
DSpMu5bZykET8y3R1nP_Lg,70545
PCFCUA9MkM3ndHTM_BGAFQ,18153
HrdlQAVfnaUXcHuKnVh2mg,68838
Q4RSmF0s-AkaegrLFCLEbg,17043
eIifLpbHSqxFnKYal_GZqg,86931
amhrLAizPkzc7dterynUUA,16908
_Gl7RqOkCUQr8kjN8yGf6w,65675
PgxjXf7enBAyzjR9ftLZ2A,66107
iJCI80Nwp514xIqBOgjhCA,53837
4Dqv3RVR7faMYfeJCChdyA,26059
